Year,Month,Day,Hour,Power,CBL,CPC
2017,7,1,0,189,189,130
2017,7,1,1,188.76,188.76,130
2017,7,1,2,189.72,189.72,130
2017,7,1,3,189.6,189.6,130
2017,7,1,4,185.16,185.16,130
2017,7,1,5,210.48,210.48,130
2017,7,1,6,208.2,208.2,130
2017,7,1,7,196.08,196.08,130
2017,7,1,8,195.84,195.84,130
2017,7,1,9,206.76,206.76,130
2017,7,1,10,223.32,223.32,130
2017,7,1,11,224.4,224.4,130
2017,7,1,12,240.48,240.48,130
2017,7,1,13,231.96,231.96,130
2017,7,1,14,225.24,225.24,130
2017,7,1,15,221.52,221.52,130
2017,7,1,16,225.12,225.12,130
2017,7,1,17,240.6,240.6,130
2017,7,1,18,240,240,130
2017,7,1,19,261.24,261.24,130
2017,7,1,20,243.48,243.48,130
2017,7,1,21,211.92,211.92,130
2017,7,1,22,195.48,195.48,130
2017,7,1,23,190.32,190.32,130
2017,7,2,0,192.36,192.36,0
2017,7,2,1,190.44,190.44,0
2017,7,2,2,191.04,191.04,0
2017,7,2,3,189.48,189.48,0
2017,7,2,4,188.04,188.04,0
2017,7,2,5,209.16,209.16,0
2017,7,2,6,209.64,209.64,0
2017,7,2,7,187.92,187.92,0
2017,7,2,8,182.88,182.88,0
2017,7,2,9,200.16,200.16,0
2017,7,2,10,195,195,0
2017,7,2,11,185.88,185.88,0
2017,7,2,12,179.28,179.28,0
2017,7,2,13,209.52,209.52,0
2017,7,2,14,187.08,187.08,0
2017,7,2,15,203.64,203.64,0
2017,7,2,16,211.92,211.92,0
2017,7,2,17,225.72,225.72,0
2017,7,2,18,216.24,216.24,0
2017,7,2,19,210.24,210.24,0
2017,7,2,20,208.32,208.32,0
2017,7,2,21,224.64,224.64,0
2017,7,2,22,195.6,195.6,0
2017,7,2,23,194.28,194.28,0
2017,7,3,0,191.16,191.16,0
2017,7,3,1,192.48,192.48,0
2017,7,3,2,190.32,190.32,0
2017,7,3,3,192.36,192.36,0
2017,7,3,4,188.88,188.88,0
2017,7,3,5,211.08,211.08,0
2017,7,3,6,220.68,220.68,0
2017,7,3,7,261.48,261.48,0
2017,7,3,8,331.2,331.2,0
2017,7,3,9,504.48,504.48,0
2017,7,3,10,487.32,487.32,0
2017,7,3,11,520.2,520.2,0
2017,7,3,12,429.96,429.96,0
2017,7,3,13,515.88,515.88,0
2017,7,3,14,552.24,552.24,0
2017,7,3,15,550.68,550.68,0
2017,7,3,16,530.04,530.04,0
2017,7,3,17,410.64,410.64,0
2017,7,3,18,344.76,344.76,0
2017,7,3,19,330.48,330.48,0
2017,7,3,20,250.8,250.8,0
2017,7,3,21,238.44,238.44,0
2017,7,3,22,217.92,217.92,0
2017,7,3,23,209.04,209.04,0
2017,7,4,0,203.4,203.4,0
2017,7,4,1,202.8,202.8,0
2017,7,4,2,207.12,207.12,0
2017,7,4,3,203.16,203.16,0
2017,7,4,4,201.12,201.12,0
2017,7,4,5,219.24,219.24,0
2017,7,4,6,231.24,231.24,0
2017,7,4,7,263.88,263.88,0
2017,7,4,8,326.52,326.52,0
2017,7,4,9,561.36,561.36,0
2017,7,4,10,510.6,510.6,0
2017,7,4,11,495,495,0
2017,7,4,12,421.56,421.56,0
2017,7,4,13,523.8,523.8,0
2017,7,4,14,546,546,0
2017,7,4,15,540.12,540.12,0
2017,7,4,16,535.44,535.44,0
2017,7,4,17,509.28,509.28,0
2017,7,4,18,358.08,358.08,0
2017,7,4,19,338.28,338.28,0
2017,7,4,20,278.04,278.04,0
2017,7,4,21,279.48,279.48,0
2017,7,4,22,239.04,239.04,0
2017,7,4,23,218.88,218.88,0
2017,7,5,0,209.04,209.04,0
