BuildingIndex,Year,Month,Day,Hour,Power
2,2018,12,9,0,0
2,2018,12,9,1,0
2,2018,12,9,2,0
2,2018,12,9,3,0
2,2018,12,9,4,0
2,2018,12,9,5,0
2,2018,12,9,6,0
2,2018,12,9,7,0
2,2018,12,9,8,0
2,2018,12,9,9,0
2,2018,12,9,10,0
2,2018,12,9,11,0
2,2018,12,9,12,0
2,2018,12,9,13,0
2,2018,12,9,14,0
2,2018,12,9,15,0
2,2018,12,9,16,0
2,2018,12,9,17,0
2,2018,12,9,18,0
2,2018,12,9,19,0
2,2018,12,9,20,0
2,2018,12,9,21,0
2,2018,12,9,22,0
2,2018,12,9,23,0
2,2018,12,9,0,0
2,2018,12,9,1,0
2,2018,12,9,2,0
2,2018,12,9,3,0
2,2018,12,9,4,0
2,2018,12,9,5,0
2,2018,12,9,6,0
2,2018,12,9,7,0
2,2018,12,9,8,0
2,2018,12,9,9,0
2,2018,12,9,10,0
2,2018,12,9,11,0
2,2018,12,9,12,0
2,2018,12,9,13,0
2,2018,12,9,14,0
2,2018,12,9,15,0
2,2018,12,9,16,0
2,2018,12,9,17,0
2,2018,12,9,18,0
2,2018,12,9,19,0
2,2018,12,9,20,0
2,2018,12,9,21,0
2,2018,12,9,22,0
2,2018,12,9,23,0
