BuildingIndex,Year,Month,Day,Hour,ToU,SMP
1,2019,2,19,0,63.1,190.65
1,2019,2,19,1,63.1,195.22
1,2019,2,19,2,63.1,185.18
1,2019,2,19,3,63.1,185.19
1,2019,2,19,4,63.1,197.57
1,2019,2,19,5,63.1,188.41
1,2019,2,19,6,63.1,191.29
1,2019,2,19,7,63.1,199.93
1,2019,2,19,8,63.1,199.93
1,2019,2,19,9,109.2,199.64
1,2019,2,19,10,166.7,199.06
1,2019,2,19,11,166.7,197.81
1,2019,2,19,12,109.2,195.22
1,2019,2,19,13,109.2,196.58
1,2019,2,19,14,109.2,196.58
1,2019,2,19,15,109.2,196.58
1,2019,2,19,16,109.2,197.64
1,2019,2,19,17,166.7,197.84
1,2019,2,19,18,166.7,197.84
1,2019,2,19,19,166.7,198.01
1,2019,2,19,20,109.2,198.58
1,2019,2,19,21,109.2,196.54
1,2019,2,19,22,166.7,193.07
1,2019,2,19,23,63.1,193
1,2019,2,19,0,63.1,190.73
1,2019,2,19,1,63.1,187.92
1,2019,2,19,2,63.1,185.67
1,2019,2,19,3,63.1,185.79
1,2019,2,19,4,63.1,185.79
1,2019,2,19,5,63.1,190.28
1,2019,2,19,6,63.1,191.34
1,2019,2,19,7,63.1,192.73
1,2019,2,19,8,109.2,197.39
1,2019,2,19,9,166.7,197.2
1,2019,2,19,10,166.7,197.01
1,2019,2,19,11,109.2,197.01
1,2019,2,19,12,109.2,196.26
1,2019,2,19,13,109.2,199.4
1,2019,2,19,14,109.2,199.4
1,2019,2,19,15,109.2,199.4
1,2019,2,19,16,166.7,199.4
1,2019,2,19,17,166.7,198.17
1,2019,2,19,18,166.7,198.17
1,2019,2,19,19,109.2,198.39
1,2019,2,19,20,109.2,197.01
1,2019,2,19,21,166.7,194.55
1,2019,2,19,22,63.1,192.84
1,2019,2,19,23,63.1,192.73
