Day,cap,init,target,min,max,in,out,Pmin,Pmax
0,72.6,0.9,0.75,0.05,0.95,17,11,-5,11
1,72.6,0.7,0.75,0.05,0.95,17,8,-5,11
2,72.6,0.5,0.75,0.05,0.95,11,10,-5,11
3,72.6,0.5,0.75,0.05,0.95,12,9,-5,11
4,72.6,0.2,0.75,0.05,0.95,22,12,-5,11
5,72.6,0.5,0.75,0.05,0.95,15,8,-5,11
6,72.6,0.3,0.75,0.05,0.95,23,14,-5,11
7,72.6,0.8,0.75,0.05,0.95,21,9,-5,11
8,72.6,0.9,0.75,0.05,0.95,17,8,-5,11
9,72.6,0.3,0.75,0.05,0.95,19,10,-5,11
10,72.6,0.8,0.75,0.05,0.95,16,11,-5,11
11,72.6,0.8,0.75,0.05,0.95,15,11,-5,11
12,72.6,0.6,0.75,0.05,0.95,22,7,-5,11
13,72.6,0.8,0.75,0.05,0.95,21,8,-5,11
14,72.6,0.4,0.75,0.05,0.95,15,7,-5,11
15,72.6,0.2,0.75,0.05,0.95,17,9,-5,11
16,72.6,0.9,0.75,0.05,0.95,20,14,-5,11
17,72.6,0.4,0.75,0.05,0.95,19,5,-5,11
18,72.6,0.1,0.75,0.05,0.95,18,10,-5,11
19,72.6,0.7,0.75,0.05,0.95,15,11,-5,11
20,72.6,0.6,0.75,0.05,0.95,14,8,-5,11
21,72.6,0.6,0.75,0.05,0.95,20,11,-5,11
22,72.6,0.5,0.75,0.05,0.95,21,10,-5,11
23,72.6,0.8,0.75,0.05,0.95,18,8,-5,11
24,72.6,0.3,0.75,0.05,0.95,24,10,-5,11
25,72.6,0.5,0.75,0.05,0.95,18,9,-5,11
26,72.6,0.3,0.75,0.05,0.95,17,10,-5,11
27,72.6,0.9,0.75,0.05,0.95,13,11,-5,11
28,72.6,0.6,0.75,0.05,0.95,21,12,-5,11
29,72.6,0.7,0.75,0.05,0.95,20,8,-5,11
30,72.6,0.6,0.75,0.05,0.95,22,10,-5,11
31,72.6,0.7,0.75,0.05,0.95,13,7,-5,11
32,72.6,0.5,0.75,0.05,0.95,15,8,-5,11
33,72.6,0.8,0.75,0.05,0.95,16,12,-5,11
34,72.6,0.2,0.75,0.05,0.95,17,13,-5,11
