,in,dur,out,init_soc
0,8.0,6.0,14.0,0.5
1,22.0,9.0,31.0,0.9
2,11.0,3.0,14.0,1.0
3,16.0,13.0,29.0,0.4
4,10.0,0.0,10.0,0.5
5,14.0,1.0,15.0,0.7
6,18.0,14.0,32.0,0.4
7,14.0,5.0,19.0,0.7
8,16.0,16.0,32.0,0.3
9,11.0,3.0,14.0,0.6
10,13.0,3.0,16.0,0.5
11,19.0,16.0,35.0,0.3
12,19.0,16.0,35.0,0.3
13,9.0,7.0,16.0,0.3
14,12.0,0.0,12.0,0.6
15,9.0,2.0,11.0,0.7
16,14.0,1.0,15.0,0.9
17,19.0,12.0,31.0,0.8
18,18.0,1.0,19.0,0.7
19,1.0,5.0,6.0,0.8
20,14.0,1.0,15.0,0.6
21,14.0,22.0,36.0,0.8
22,9.0,5.0,14.0,0.5
23,12.0,1.0,13.0,0.6
24,11.0,4.0,15.0,0.9
25,12.0,1.0,13.0,0.8
26,8.0,8.0,16.0,1.0
27,18.0,0.0,18.0,0.1
28,20.0,11.0,31.0,0.4
29,10.0,1.0,11.0,0.6
30,13.0,1.0,14.0,0.7
31,12.0,4.0,16.0,0.9
32,16.0,0.0,16.0,0.3
33,12.0,0.0,12.0,0.7
34,10.0,1.0,11.0,0.5
35,10.0,8.0,18.0,0.3
36,19.0,1.0,20.0,0.4
37,16.0,21.0,37.0,0.2
38,21.0,0.0,21.0,0.3
39,17.0,15.0,32.0,0.8
40,14.0,1.0,15.0,0.8
41,13.0,20.0,33.0,0.5
42,15.0,1.0,16.0,0.5
43,6.0,8.0,14.0,0.8
44,14.0,2.0,16.0,0.3
45,13.0,4.0,17.0,0.2
46,20.0,13.0,33.0,0.9
47,15.0,0.0,15.0,0.8
48,17.0,1.0,18.0,0.5
49,12.0,3.0,15.0,0.7
50,8.0,8.0,16.0,0.3
51,15.0,1.0,16.0,0.5
52,19.0,0.0,19.0,0.8
53,6.0,8.0,14.0,0.5
54,14.0,3.0,17.0,0.2
55,15.0,1.0,16.0,0.8
56,17.0,22.0,39.0,0.7
