,in,out,init_soc
0,18.0,10.0,0.8
1,12.0,11.0,0.8
2,15.0,11.0,0.4
3,15.0,10.0,0.8
4,19.0,11.0,0.3
5,18.0,14.0,0.3
6,19.0,12.0,0.7
7,17.0,8.0,0.3
8,21.0,8.0,0.9
9,19.0,7.0,0.7
10,16.0,9.0,0.6
11,18.0,11.0,0.7
12,16.0,13.0,0.5
13,19.0,8.0,0.3
14,15.0,8.0,0.9
15,18.0,8.0,0.5
16,16.0,9.0,0.5
17,17.0,11.0,0.1
18,15.0,12.0,0.3
19,10.0,9.0,0.4
20,18.0,13.0,0.4
21,14.0,8.0,0.7
22,17.0,8.0,0.9
23,17.0,8.0,0.5
24,18.0,7.0,0.7
25,19.0,7.0,0.7
26,17.0,9.0,0.8
27,18.0,12.0,0.9
28,21.0,10.0,0.7
29,14.0,10.0,0.6
30,23.0,10.0,0.7
31,17.0,7.0,0.2
32,19.0,11.0,0.4
33,18.0,7.0,0.2
34,18.0,9.0,0.5
35,18.0,11.0,0.5
36,18.0,9.0,0.2
37,16.0,12.0,0.7
38,22.0,13.0,0.7
39,16.0,9.0,0.5
40,16.0,11.0,0.8
41,16.0,11.0,1.0
42,17.0,13.0,0.5
43,18.0,6.0,0.5
44,16.0,10.0,0.4
45,13.0,9.0,0.2
46,20.0,9.0,0.7
47,11.0,5.0,0.2
48,14.0,8.0,0.5
49,17.0,11.0,0.9
50,18.0,14.0,0.5
51,16.0,10.0,0.8
52,20.0,13.0,0.2
53,14.0,8.0,0.1
54,18.0,12.0,1.0
55,15.0,12.0,0.9
56,18.0,11.0,0.5
57,18.0,11.0,0.7
58,17.0,11.0,0.1
59,17.0,9.0,0.2
60,15.0,12.0,0.8
61,23.0,11.0,0.6
62,17.0,9.0,0.3
63,18.0,14.0,0.4
64,19.0,8.0,0.7
65,10.0,12.0,0.9
66,13.0,5.0,0.3
67,16.0,7.0,0.5
68,16.0,12.0,0.7
69,19.0,8.0,0.6
70,20.0,8.0,0.9
71,16.0,9.0,0.7
72,22.0,8.0,0.6
73,20.0,8.0,0.2
74,18.0,6.0,0.9
75,18.0,8.0,0.3
76,15.0,12.0,0.1
77,16.0,6.0,0.6
78,15.0,11.0,1.0
79,11.0,10.0,0.8
80,15.0,9.0,0.2
81,16.0,13.0,1.0
82,16.0,12.0,0.3
83,17.0,11.0,0.6
84,16.0,12.0,0.3
85,14.0,9.0,0.4
86,16.0,10.0,0.4
87,19.0,10.0,0.5
88,15.0,10.0,0.9
89,13.0,11.0,0.3
90,17.0,9.0,0.8
91,18.0,10.0,0.6
92,15.0,8.0,1.0
93,20.0,10.0,0.6
94,18.0,10.0,0.7
95,17.0,10.0,0.2
96,16.0,10.0,0.9
97,17.0,7.0,0.2
98,11.0,10.0,0.4
99,17.0,9.0,0.3
100,16.0,8.0,0.4
101,19.0,5.0,0.4
102,12.0,11.0,1.0
103,19.0,8.0,0.4
104,18.0,5.0,0.5
105,19.0,7.0,0.9
106,10.0,11.0,0.6
107,15.0,15.0,0.7
108,17.0,12.0,0.4
109,14.0,11.0,0.3
110,17.0,10.0,0.6
111,18.0,12.0,0.5
112,18.0,11.0,0.8
113,20.0,10.0,0.4
114,14.0,9.0,0.8
115,21.0,7.0,0.7
116,13.0,8.0,0.5
117,20.0,7.0,0.1
118,22.0,7.0,0.3
119,21.0,9.0,0.6
120,23.0,12.0,0.7
121,18.0,11.0,0.3
122,10.0,11.0,0.9
123,21.0,7.0,0.4
124,21.0,11.0,0.6
125,20.0,11.0,0.7
126,19.0,12.0,0.2
127,16.0,10.0,0.2
128,18.0,12.0,0.5
129,18.0,8.0,0.7
130,16.0,10.0,0.9
131,19.0,8.0,0.6
132,17.0,9.0,0.4
133,17.0,10.0,0.7
134,20.0,8.0,0.9
135,13.0,11.0,0.7
136,18.0,8.0,0.7
137,17.0,12.0,0.6
138,17.0,7.0,0.6
139,19.0,8.0,0.8
140,19.0,9.0,0.5
141,22.0,8.0,0.4
142,21.0,10.0,0.6
143,16.0,9.0,0.3
144,15.0,7.0,0.8
145,14.0,11.0,0.9
146,20.0,8.0,0.8
147,17.0,10.0,0.6
148,12.0,10.0,0.9
149,15.0,10.0,0.4
150,19.0,9.0,0.4
151,17.0,8.0,0.2
152,16.0,13.0,0.9
153,20.0,10.0,0.7
154,16.0,6.0,0.8
155,17.0,10.0,1.0
156,20.0,10.0,0.5
157,18.0,11.0,0.9
158,19.0,11.0,0.4
159,21.0,11.0,0.5
160,2.0,8.0,0.5
161,20.0,6.0,0.8
162,20.0,9.0,0.3
163,16.0,10.0,0.6
164,16.0,8.0,0.7
165,20.0,10.0,0.5
166,18.0,6.0,0.4
167,20.0,7.0,0.9
168,21.0,5.0,0.7
169,14.0,10.0,0.4
170,15.0,12.0,0.5
171,1.0,11.0,0.8
172,0.0,10.0,0.2
173,20.0,9.0,0.4
174,12.0,10.0,0.8
175,18.0,12.0,0.1
176,18.0,7.0,0.1
177,12.0,8.0,0.7
178,16.0,6.0,0.8
179,15.0,11.0,0.4
180,10.0,11.0,0.2
181,17.0,8.0,0.6
182,20.0,10.0,0.6
183,14.0,7.0,0.6
184,16.0,11.0,1.0
185,18.0,11.0,0.3
186,19.0,8.0,0.8
187,18.0,12.0,0.6
188,17.0,7.0,0.3
189,19.0,9.0,0.5
190,16.0,9.0,0.8
191,14.0,7.0,0.4
192,19.0,11.0,0.8
193,17.0,10.0,0.4
194,16.0,10.0,1.0
195,14.0,10.0,0.4
196,12.0,8.0,0.3
197,19.0,12.0,0.1
198,14.0,10.0,0.6
199,14.0,9.0,0.1
200,19.0,11.0,0.5
201,15.0,12.0,0.6
202,1.0,8.0,0.6
203,13.0,8.0,0.7
204,15.0,9.0,0.6
205,17.0,14.0,0.1
206,19.0,9.0,0.1
207,21.0,9.0,0.3
208,17.0,9.0,0.6
209,0.0,13.0,0.4
210,13.0,7.0,0.4
211,21.0,13.0,1.0
212,15.0,10.0,0.6
213,15.0,11.0,0.2
214,19.0,8.0,0.5
215,17.0,7.0,0.3
216,20.0,12.0,0.7
217,18.0,9.0,0.3
218,21.0,11.0,0.7
219,17.0,10.0,0.7
220,12.0,10.0,0.3
221,17.0,13.0,0.5
222,16.0,7.0,0.6
223,16.0,11.0,0.6
224,11.0,9.0,0.7
225,14.0,8.0,0.3
226,12.0,12.0,0.8
227,19.0,8.0,0.1
228,12.0,12.0,0.2
229,17.0,13.0,0.6
230,10.0,10.0,0.9
231,10.0,10.0,0.4
232,11.0,10.0,0.4
233,21.0,7.0,0.5
234,18.0,10.0,0.9
235,17.0,11.0,0.8
236,14.0,12.0,0.8
237,14.0,10.0,0.2
238,18.0,9.0,0.6
239,14.0,7.0,0.3
240,18.0,12.0,0.3
241,18.0,9.0,0.4
242,17.0,14.0,1.0
243,16.0,14.0,0.2
244,11.0,10.0,0.4
245,18.0,12.0,0.8
246,15.0,8.0,0.4
247,12.0,13.0,0.4
248,14.0,7.0,0.8
249,9.0,9.0,0.6
250,14.0,10.0,0.7
251,22.0,6.0,0.2
252,17.0,10.0,0.9
253,0.0,8.0,0.4
254,17.0,10.0,0.6
255,16.0,9.0,0.7
256,23.0,6.0,0.4
257,18.0,12.0,0.6
258,13.0,9.0,0.3
259,16.0,12.0,0.9
260,17.0,11.0,0.6
261,18.0,10.0,0.8
262,19.0,8.0,0.9
263,15.0,9.0,0.5
264,17.0,14.0,0.8
265,14.0,6.0,0.3
266,16.0,12.0,1.0
267,16.0,12.0,0.5
268,22.0,8.0,0.9
269,11.0,9.0,0.5
270,18.0,6.0,0.7
271,15.0,14.0,0.7
272,15.0,6.0,0.9
273,11.0,10.0,0.6
274,18.0,12.0,1.0
275,15.0,12.0,0.7
276,15.0,9.0,0.5
277,20.0,10.0,0.4
278,16.0,7.0,0.7
279,17.0,10.0,0.3
280,13.0,8.0,0.7
281,20.0,9.0,0.6
282,19.0,12.0,0.5
283,19.0,9.0,0.1
284,11.0,6.0,0.4
285,18.0,8.0,0.3
286,21.0,9.0,0.6
287,16.0,8.0,0.8
288,17.0,11.0,0.4
289,10.0,9.0,0.9
290,19.0,8.0,0.5
291,10.0,10.0,0.9
292,14.0,9.0,0.4
293,14.0,8.0,0.3
294,8.0,7.0,0.6
295,14.0,9.0,1.0
296,20.0,10.0,0.7
297,17.0,10.0,0.8
298,16.0,6.0,0.3
299,17.0,5.0,0.2
300,18.0,10.0,1.0
301,15.0,11.0,1.0
302,20.0,10.0,0.7
303,18.0,12.0,0.5
304,20.0,10.0,0.7
305,14.0,12.0,0.5
306,18.0,8.0,0.4
307,19.0,11.0,0.6
308,16.0,11.0,0.8
309,13.0,13.0,0.3
310,14.0,10.0,0.9
311,19.0,14.0,0.5
312,19.0,10.0,0.7
313,12.0,12.0,0.5
314,17.0,6.0,0.4
315,16.0,10.0,0.4
316,13.0,13.0,0.8
317,17.0,11.0,0.9
318,18.0,10.0,0.4
319,12.0,9.0,0.6
320,14.0,11.0,0.3
321,15.0,13.0,0.5
322,15.0,6.0,0.6
323,16.0,9.0,0.5
324,16.0,11.0,0.8
325,12.0,8.0,0.3
326,17.0,6.0,0.1
327,17.0,7.0,0.7
328,18.0,14.0,0.4
329,20.0,12.0,0.8
330,18.0,11.0,0.1
331,18.0,7.0,0.8
332,20.0,9.0,0.8
333,18.0,8.0,1.0
334,9.0,7.0,0.6
335,15.0,13.0,0.9
336,16.0,10.0,0.9
337,20.0,13.0,0.5
338,22.0,11.0,0.2
339,15.0,10.0,0.1
340,18.0,8.0,0.4
341,17.0,9.0,0.8
342,11.0,14.0,0.4
343,14.0,12.0,0.4
344,16.0,10.0,0.6
345,11.0,7.0,0.9
346,17.0,8.0,0.9
347,17.0,10.0,0.8
348,16.0,10.0,0.3
349,15.0,11.0,0.3
350,18.0,7.0,0.8
351,16.0,10.0,0.3
352,15.0,6.0,0.7
353,16.0,11.0,0.8
354,12.0,11.0,0.9
355,20.0,10.0,0.1
356,16.0,10.0,0.8
357,16.0,7.0,0.5
358,15.0,11.0,0.2
359,17.0,4.0,0.6
360,16.0,8.0,0.4
361,14.0,13.0,0.2
362,15.0,8.0,0.6
363,11.0,10.0,0.3
364,9.0,8.0,0.9
365,17.0,11.0,0.6
366,19.0,10.0,0.5
367,19.0,10.0,0.5
368,11.0,11.0,0.3
369,15.0,10.0,0.6
370,15.0,8.0,0.5
371,13.0,14.0,0.4
372,15.0,10.0,0.7
373,10.0,13.0,0.5
374,17.0,14.0,0.4
375,20.0,9.0,0.6
376,16.0,11.0,1.0
377,22.0,8.0,0.2
378,19.0,9.0,0.3
379,15.0,5.0,0.5
380,21.0,5.0,0.2
381,21.0,13.0,0.6
382,14.0,10.0,0.6
383,19.0,13.0,0.7
384,18.0,10.0,0.4
385,20.0,14.0,0.4
386,20.0,13.0,0.8
387,2.0,10.0,0.1
388,20.0,11.0,0.9
389,19.0,14.0,0.9
390,15.0,9.0,0.3
