,in,out,init_soc
0,20.0,9.0,0.615927400048037
1,17.0,10.0,0.7663946536562275
2,19.0,15.0,0.3289476951198809
3,18.0,9.0,0.41031145451826306
4,17.0,8.0,0.3801901856037162
5,18.0,9.0,0.40799927342858955
6,22.0,8.0,1.0168966599984743
7,19.0,12.0,0.2829300252099444
8,17.0,12.0,0.20347605175340597
9,20.0,9.0,0.22287213362915342
10,17.0,12.0,0.5150968833218612
11,14.0,11.0,0.8151391991081174
12,17.0,7.0,0.3894920519874927
13,20.0,12.0,0.40280794016808386
14,21.0,7.0,0.6614345061778281
15,15.0,15.0,0.6570140322058013
16,15.0,10.0,0.6999260656187282
17,18.0,11.0,0.0858924670468018
18,19.0,7.0,0.6254223980189021
19,16.0,11.0,0.5635014558371483
20,19.0,11.0,0.7819772919995905
21,16.0,10.0,0.49461322050864454
22,14.0,8.0,0.4699494884986044
23,22.0,10.0,0.16785714607756982
24,8.0,11.0,0.5186139624537153
25,14.0,5.0,0.18813736033375394
26,19.0,8.0,0.4507773971274097
27,15.0,8.0,0.903548156058238
28,3.0,12.0,0.18063123451082283
29,21.0,15.0,0.43224214586971266
30,15.0,13.0,0.37565926664559035
31,14.0,13.0,0.3657048376317454
32,14.0,10.0,0.6251262021794061
33,22.0,10.0,0.5489299590962576
34,17.0,11.0,0.09972488482185661
35,18.0,4.0,0.804080614666089
36,20.0,10.0,0.6070401096409758
37,17.0,12.0,0.2899084198407251
38,17.0,9.0,0.5855952609544638
39,18.0,8.0,0.1628961876611498
40,21.0,13.0,0.5854336108410226
41,16.0,6.0,0.6621533363099923
42,18.0,12.0,0.301646482237281
43,16.0,14.0,0.6743833950568677
44,12.0,6.0,0.6238906215031798
45,13.0,11.0,0.6957484293591993
46,17.0,12.0,0.7396766898153782
47,11.0,12.0,0.20409601035271646
48,19.0,4.0,0.804695244414392
49,16.0,7.0,0.8653481756327036
50,0.0,14.0,0.43166570962370293
51,21.0,10.0,0.7214450676919371
52,12.0,8.0,0.9408205893886569
53,18.0,9.0,0.8624152188715538
54,15.0,10.0,0.3020792432278157
55,13.0,10.0,0.6945609446722893
56,17.0,12.0,0.5083879867566898
57,14.0,9.0,0.6476546611362655
58,18.0,10.0,0.9551934457785133
59,22.0,14.0,0.5306559283276383
60,16.0,11.0,0.10676681773388731
61,17.0,9.0,0.849125552575046
62,17.0,13.0,0.6057637030227601
63,16.0,11.0,0.3747083305329079
64,12.0,13.0,0.6056272435884489
65,16.0,9.0,0.39131450180557287
66,23.0,11.0,0.33773150658533546
67,18.0,10.0,1.0059491626077983
68,22.0,11.0,0.46901993817349785
69,13.0,11.0,0.5724240922025833
